smiles,split
CC1C2CCC(C2)C1CN(CCO)C(=O)c1ccc(Cl)cc1,test
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O,test
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,test
Clc1ccccc1-c1nc(-c2ccncc2)no1,test
CC(C)(Oc1ccc(Cl)cc1)C(=O)OCc1cccc(CO)n1,test
Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,test
O=C1c2cccnc2CN1Cc1ccccc1Cl,test
O=C(NC1CCc2ccccc2C1)c1ccncc1,test
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,test
Cc1[nH]cnc1Cc1nc(-c2ccccc2)cs1,test
COc1ccc(-c2nc3n(c2-c2ccncc2)CCC3)cc1,test
CC(=O)NC(C(=O)NCc1ccccc1)c1ccco1,test
COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,test
CCCn1c(=O)c2[nH]c(C3CCC(=O)C3)nc2n(CCC)c1=O,test
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,test
COc1cc(CNc2ccc(C)cc2)cc(OC)c1OC,test
O=C(NCCc1cccc2ccccc12)C1CCC1,test
O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3,test
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(O)cc1,test
Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)cc1,test
Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,test
COc1cc2ncc(NC3CCC(O)CC3)nc2cc1OC,test
Nc1cnc(-c2cc(Cl)cc(Cl)c2Cl)c(N)n1,test
CCN1c2ncccc2NC(=O)c2cc(Br)cnc21,test
CC(C(=O)NC1CC1)S(=O)(=O)c1ccccc1Br,test
Nc1nnc(-c2ccc(N)c(Cl)c2Cl)c(N)n1,test
Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)on1,test
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,test
c1ccc2[nH]c(CSc3ncnc4ccccc34)nc2c1,test
CN(C)c1ncnc2c1ncn2C1OC(CO)C(O)C1O,test
CNC(=O)OCc1c2ccncc2c(C)c2c1[nH]c1ccccc12,test
COc1ccc(-c2cc(C(F)(F)F)n3nc(C(N)=O)cc3n2)cc1,test
Cc1cc(C)n(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)n1,test
Cc1ccc(S(=O)(=O)NCc2ccccc2)cc1,test
CC(=O)Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1,test
O=C(Nc1nnc(C2CC2)s1)c1csc2ccccc12,test
CCN(CC)C(=O)c1ccc(NC(C)=O)c(Cl)c1,test
Cc1ccccc1C(=O)Nc1ccccc1C(=O)N1CCCC1,test
Fc1ccccc1CSc1nnnn1-c1ccc2c(c1)OCO2,test
CS(=O)(=O)N(Cc1ccccc1)Cc1ccccc1,test
CC1CCCN(C(=O)c2ccc(Br)cc2)C1,test
COc1ccc(CNC(=O)c2ccccc2Cl)cc1,test
