,smiles,homo,lumo
0,C1=CC=CN1,-0.26183,0.08383
1,C[SiH](C)C[Ge](C)(C)C,-0.32171,0.07275
2,C[SiH](C)C[Sn](C)(C)C,-0.30931,0.06451
3,C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,-0.31401,0.07326
4,C[Si](C)(C)C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,-0.31323,0.066
5,CCCC[Si](C)(C)C[SiH](C[Si](C)(C)CCCC)C[Si](C)(C)CCCC,-0.30583,0.06683
6,C[Si](C)(C[SiH](C[Si](C)(C)c1ccccc1)C[Si](C)(C)c2ccccc2)c3ccccc3,-0.29492,0.01534
7,C1C=CC=CC=C1,-0.27247,-0.00093
8,C1C=CCC=C1,-0.28479,0.05452
9,C1COCO1,-0.33442,0.09446
10,CCCC1OCCO1,-0.32354,0.0992
11,O,-0.37668,0.08893
12,C1COC(O1)c2ccccc2,-0.30576,0.02078
13,NC(=O)C1=CN(Cc2ccccc2)C=CC1,-0.23808,0.00711
14,CN1c2ccccc2Cc3ccccc13,-0.23874,0.02203
15,CCCC[Sn](CCCC)(CCCC)CCCC,-0.29632,0.06292
16,CC(C)C[Sn](CC(C)C)(CC(C)C)CC(C)C,-0.2967,0.06455
17,C[Si]1(C)CCCCC1,-0.31282,0.08016
18,C[Si]1(C)CCCC1,-0.32153,0.08086
19,c1ccc(cc1)C(c2ccccc2)c3ccccc3,-0.28802,0.01146
20,Cc1ccc(cc1)C(c2ccc(C)cc2)c3ccc(C)cc3,-0.27503,0.018
21,COc1ccc(cc1)C(c2ccc(OC)cc2)c3ccc(OC)cc3,-0.25679,0.01195
22,CN1C(N(C)c2ccccc12)c3cccc(Cl)c3,-0.21908,-0.00128
23,CN1C(N(C)c2ccccc12)c3ccc(cc3)C(F)(F)F,-0.22286,-0.01264
24,CN1C(N(C)c2ccccc12)c3ccc(cc3)[N+]([O-])=O,-0.22783,-0.05494
25,[OH-],0.07965,0.41626
26,NC(NN)=O,-0.31026,0.07721
27,C[SiH](CC(C)(C)C)c1ccccc1,-0.30085,0.01676
28,C[SiH](C)Cc1cccc(Cl)c1,-0.28781,0.0168
29,C[SiH]1CCC1,-0.31915,0.08428
30,C[SiH]1CCCC1,-0.32894,0.08433
31,CCO[SiH](OCC)OCC,-0.34796,0.08167
32,CCCO[SiH](C)C,-0.33162,0.09086
33,CC[GeH](CC)CC,-0.32152,0.07728
34,[BH4-],-0.10187,0.39748
35,[BH3-]C#N,-0.13758,0.29966
36,CC[Si](CC)(CC)CC,-0.32389,0.07171
37,CCCC[Si](C)(C)C,-0.32635,0.07849
38,C[Si](C)(C)CCc1ccccc1,-0.29008,0.02995
39,CC[Si](C)(CC)CC(c1ccccc1)c2ccccc2,-0.28672,0.01818
40,C[Si](C)(C)CCCCCC[Si](C)(C)C,-0.3165,0.0781
41,NCC(F)(F)F,-0.3289,0.09346
42,C[Si]1(C)CCC1,-0.31157,0.08341
43,C[Si]1(C)CCCCCC1,-0.32169,0.07594
44,CC[Sn](CC)(CC)CC,-0.29844,0.06285
45,[O-]CC(F)(F)F,-0.03537,0.30602
46,CC[Ge](CC)(CC)CC,-0.31546,0.071
47,CC[Pb](CC)(CC)CC,-0.28329,0.04579
48,CC[Hg]CC,-0.26917,0.02235
