,smiles,MolWt
0,COc1cc(O)cc(CCc2ccc(OC)c(O)c2)c1,274.31
1,Oc1ccc(cc1)\C=C\C(=O)CC(=O)\C=C\c1ccc(O)cc1,308.33
2,NC1=NC(C2=CC=CC(OC)=C2)=CC(NCC3=CC=C(OCO4)C4=C3)=N1.[H]Cl,386.84
3,COc1ccc(Nc2nccc(NCCO)n2)cc1.Cl,296.75
4,COc1ccc(/C(Cl)=C(/C=O)c2ccc(OC)cc2)cc1,302.75
5,NS(=O)(=O)c1ccc(NC(=S)N2CCN(C\C=C\c3ccccc3)CC2)cc1,416.56
6,Cc1ccc(\C=N\NC(=O)c2ccccc2Oc2ccccc2)o1,320.34
7,[nH]1c(cc(c1)c1cc(ncc1Cl)NC(C)C)C(=O)N[C@H](CO)c1cc(ccc1)Cl,433.33
8,c1coc(c1)c1cc(no1)C(=O)NCCCn1ccnc1,286.29
9,COc1nccc(n1)-c1c(ncn1[C@H]1CC[C@H](O)CC1)-c1ccc(F)cc1,368.4
10,C(=O)(c1cc(ccc1)C(F)(F)F)Nc1cc(c(cc1)C)N1C(=O)N(c2c(C1)cnc(n2)Nc1n(nc(c1)C)C)C,550.53
11,Cn1c2nc(ncc2cc(c1=O)Oc1c(cc(cc1)F)F)NC(CCO)CCO,406.38
12,[K+].[O-]C(=O)CCN1C(=S)S\C(=C/c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)C1=O,442.51
13,CS(=O)(=O)c1cnc(cc1)c1nnc(n1c1ccccc1Cl)/C=C/c1nnc(o1)c1ccc(cc1)C#N,529.96
14,COc1ccc2[nH]cc(C=C3C(=O)Nc4ccc(NC(=O)CCN5CCCCC5)cc34)c2c1,444.53
15,C1COc2c(O1)ccc(c2)n1c(=O)[nH]nc1Sc1ncc(s1)[N+](=O)[O-],379.37
16,C[C@H]1CN(C[C@@H](C)N1)c1cc(C)c(cn1)-c1ccc(cc1)-c1nc2n(C)ccc2c(=O)[nH]1,428.53
17,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,265.3
18,Cn1c(ccn1)Nc1nccc(n1)c1cc(=O)n(cc1)[C@H](CO)c1cc(c(cc1)Cl)F,440.86
19,CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(N)=O)c1,412.48
